princess_id,quoats_eng,quoats_kor
1,Cause way down deep inside we've got a dream.,우리 마음 깊은 곳에는 꿈이 있어요.
1,You don't really need someone to complete you. You only need someone to accept you completely.,당신을 완벽하게 만들어줄 사람은 필요없어요. 당신을 완벽하게 이해해줄 사람이 필요할 뿐이죠.
1,Do what you like love what you do.,네가 좋아하는 것을 하고 네가 하는 것을 사랑해
2,I want my freedom.,전 자유를 원해요.
2,Our fate lives within us. You only have to be brave enough to see it Brave.,운명은 우리 안에 숨 쉬고 있어. 그 운명을 들여다 볼 용기가 필요할 뿐.
2,You will change your destiny. I don't need magic.,너의 운명은 네가 바꾸는 거야. 마법은 필요없어.
2,I'm gonna live the life I want.,난 내가 원하는 삶을 살꺼야.
3,"I am Moana of Motunui. You will board my boat, sail across the sea, and restore the heart of Te Fiti.",나는 모투누이의 모아나예요. 당신은 내 배에 타야해요. 그리고 바다를 건너 테피티의 심장을 돌려놓을거예요
3,"Okay, first, I'm not a princess, I'm the daughter of the chief.",난 공주가 아니라 족장의 딸이야.
3,I know the way. I am Moana!!!!,난 내 길을 알아. 나는 모아나!!!
4,The flower that blooms in adversity is the most rare and beautiful of them all.,역경을 이겨내고 핀 꽃이 제일 귀하면서도 아름다운 꽃이지
4,When will my reflection show who I am inside.,언제쯤에야 내 진짜 모습이 비춰질 수 있을까.
5,"When there's too much to do, don't let it bother you. Forget your troubles.","너무나 할 일이 많을 때, 자신을 괴롭히지 말아요. 당신의 문제거리들을 잊어버리세요."
5,Remember you're the one who can fill the world with sunshine.,"기억해, 세상을 햇살로 가득 채울 수 있는 사람은 오직 너라는 걸."
6,"To love someone, you have to love yourself first.","누군가를 사랑하려면, 너 자신을 먼저 사랑해야 해."
6,It's not until you lose everything that you can truly appreciate everything,모든 것을 잃고 나서야 비로소 진정으로 감사함을 알 수 있습니다.
7,Magic can happen only when you have an earnest desire.,간절히 바라는 마음이 있어야 마법이 일어날 수 있어.
7,If you keep on believing the dream that you wish will come true,계속 믿는다면 당신이 소망하는 꿈이 현실이 될 거예요
8,You can do it if you sincerely want. But you have to do it again and again. Then finally you can do it.,네가 간절히 원한다면 얻을 수 있어. 하지만 넌 시도하고 또 시도해야해. 그럼 넌 마침내 얻을 수 있을거야.
8,Who says that my dreams have to stay just my dreams?,누가 말하니? 내 꿈이 그저 꿈으로만 머물거라고..
8,"It doesn't matter what other people think, It matters what I think of myself",남들이 어떻게 생각하는지는 중요하지 않아. 나 자신이 어떻게 생각하는지가 중요하지.
9,Do you want to build a snowman~?,같이 눈사람 만들지 않을래~?
9,"Wait, What?","잠깐, 뭐?"
9,"They say, 'Have courage,' and I'm trying to.","사람들은 '용기를 내' 라고들 말하지만, 나도 노력 중이야."
9,"The sky's awake, so I'm awake. So we have to play!","하늘도 깨고, 나도 깼으니, 우린 놀아야해!"
9,"You don't have to live in fear, 'cause for the first time in forever, I will be right here.",두려움에 떨지 않아도 돼. 왜냐하면 태어나서 처음으로 내가 여기 있을 테니까.
9,You’ll always have me.,난 언제나 네 곁에 있을게.
9,Who cares when there’s danger when there is love?,사랑이 있는 곳에 위험이 있으면 어떠랴?
9,I never knew winter could be so beautiful.,겨울도 아름다울 수 있다는 것을 결코 알지 못했어.
10,Fear is what can't be trusted,두려움은 불신에서 나오는 거야
10,The fears that once controlled me can't get to me at all,한 때 날 속박했던 두려움도 더 이상 나를 어쩌지 못해
11,"I know you, I walked with you once upon a dream",나 당신을 알아요. 난 어떤 꿈속에서 당신과 함께 걸었어요
11,"If it passes by, then it's a relation. If it sinks into one's mind, then it's love","스치면 인연, 스며들면 사랑"
11,I've always known you were close by. Your shadow. It's been followings me ever since I was small.,늘 곁에 있는 걸 알았어요. 어릴 때부터 당신 그림자가 날 따라다녔어요.
12,I won't go speechless.,조용히 있지만은 않을 거예요.
12,I am not a prize to be won.,난 승리해서 얻는 전리품이 아니에요!
13,Don't matter what you look like. Don't matter where you are from. You got to dig a little deeper. Find out who you are. The only thing important is what's under the skin.,"겉모습이나 출신이 무슨 상관이야. 너의 정체성을 알고 싶다면, 마음 속을 더 들여다 봐. 중요한 건 겉모습이 아닌 마음이야."
13,You can't get what wou want just by wishing for it.,그저 바라는 것만으로 원하는 것을 얻을 수 없어요.
13,You only way to get what you want in this world is through hard work ,이 세상에서 원하는 것을 얻을 수 있는 유일한 방법은 힘든 일을 통해 시에요.
14,I’d rather die tomorrow than live a hundred years without knowing you.,당신을 모르고 100년을 사는 것보다 당신을 알고 지금 죽는 게 더 나아요
14,Sometimes the right path is not the easiest one.,가끔은 옳은 길이 가장 쉬운길이 아닐 때도 있지.
14,"If you walk the footstpes of a stranger, you'll learn things you never know.",만약 당신이 낯선 사람의 발자국을 걷는다면 당신은 전혀 모르는 것들을 배울 수 있을 거에요
